"","super_opeid","instnm","count","count_pq1","count_pq2","count_pq3","count_pq4","count_pq5","inventor","inventor_pq1","inventor_pq2","inventor_pq3","inventor_pq4","inventor_pq5","top5cit","total_patents","total_cites","share_q1","share_q2","share_q3","share_q4","share_q5","name","par_median","kq5_cond_parq1"
"194",2423,"Mississippi State University",10686,966,1385,1816,2608,3911,0.0036496,0,0.0021661,0.0011013,0.0053681,0.0051138,8.88e-06,42,68,0.0903986524424481,0.129608833988396,0.169941980160958,0.2440576455175,0.365992887890698,"Mississippi State University",90700,20.326965
"195",2440,"University Of Mississippi",9871,637,1013,1317,1956,4948,0.0018235,0.0031397,0.0009872,0.0030372,0.002045,0.0014147,0,21,3,0.064532468848141,0.102623847634485,0.133421132610678,0.198156215175767,0.501266335730929,"University Of Mississippi",109100,23.683475
"196",2441,"University Of Southern Mississippi",7917,1091,1426,1498,1859,2043,0.0015157,0.0009166,0.0007013,0.0026702,0.0010758,0.0019579,1.11e-05,15,49,0.137804724011621,0.18011873184287,0.18921308576481,0.234811165845649,0.258052292535051,"University Of Southern Mississippi",76700,16.938166
"197",2484,"Metropolitan Community College of Kansas City, MO",17099,1875,2897,3893,5042,3392,0.0008772,0.0005333,0.0003452,0.0005137,0.0009917,0.0017689,5.04e-05,36,495,0.109655535411428,0.169425112579683,0.227674132990233,0.294871045090356,0.1983741739283,"Metropolitan Community College of Kansas City, MO",73900,11.764534
"198",2495,"Truman State University",6276,157,446,968,1872,2833,0.0025494,0,0.0067265,0.0020661,0.0021368,0.0024709,0,12,0,0.0250159337157425,0.0710643722115997,0.154238368387508,0.298279158699809,0.451402166985341,"Truman State University",104700,28.755945
"199",2501,"Southeast Missouri State University",7013,506,879,1564,2071,1993,0.0017111,0,0.0011377,0.0012788,0.0028972,0.0015053,0,8,8,0.0721517182375588,0.125338656780265,0.223014401825182,0.295308712391273,0.284186510765721,"Southeast Missouri State University",85200,13.465818
"200",2503,"Missouri State University",12693,688,1474,2575,3666,4290,0.0019696,0.002907,0,0.0023301,0.0019094,0.002331,8.31e-05,18,53,0.0542031040731112,0.116126999133381,0.202867722366659,0.288820609784921,0.337981564641929,"Missouri State University",87900,20.385542
"201",2506,"Saint Louis University",6504,170,407,741,1506,3680,0.0058426,0,0.007371,0.0067476,0.0079681,0.0048913,0,49,10,0.0261377613776138,0.0625768757687577,0.113929889298893,0.231549815498155,0.565805658056581,"Saint Louis University",119700,42.174488
"202",2520,"Washington University In St. Louis",6277,125,253,458,801,4640,0.0186395,0.024,0.0118577,0.010917,0.0187266,0.0196121,0.0006375,227,159,0.0199139716425044,0.0403058786044289,0.0729647920981361,0.127608730285168,0.739206627369763,"Washington University In St. Louis",180200,53.508263
"203",2531,"Montana Tech Of The University Of Montana",1620,191,289,421,429,290,0.0061728,0.0104712,0.0069204,0.0023753,0.004662,0.0103448,0,6,7,0.117901234567901,0.178395061728395,0.259876543209877,0.264814814814815,0.179012345679012,"Montana Tech Of The University Of Montana",68300,29.21035
"204",2532,"Montana State University Bozeman",9221,643,1350,1931,2401,2896,0.0083505,0.0046656,0.0051852,0.0088037,0.0095793,0.0093232,0.0004171,139,163,0.0697321331742761,0.146404945233706,0.209413295737989,0.260383906300835,0.314065719553194,"Montana State University Bozeman",84500,22.013926
"205",2536,"University Of Montana",9746,920,1519,2014,2431,2862,0.0014365,0.001087,0,0.0014896,0.0020568,0.001747,2.89e-07,26,186,0.0943977016211779,0.155858813872358,0.206648881592448,0.249435665914221,0.293658936999795,"University Of Montana",82400,15.452981
"206",2568,"University Of Nevada , Reno",7687,374,727,1280,2049,3257,0.0065045,0.0080214,0.002751,0.003125,0.0087848,0.0070617,0.0005155,95,47,0.0486535709639651,0.0945752569272798,0.166514895277742,0.266553922206322,0.423702354624691,"University Of Nevada , Reno",103500,28.514662
"207",2569,"University Of Nevada - Las Vegas",10945,843,1469,2089,2692,3852,0.0014619,0.0011862,0.0013615,0.0004787,0.0011144,0.0023364,0.0001836,14,25,0.0770214709913202,0.134216537231613,0.190863407948835,0.24595705801736,0.351941525810873,"University Of Nevada - Las Vegas",90400,28.984283
"208",2573,"Dartmouth College",4505,164,280,369,579,3113,0.0199778,0.0060976,0.0357143,0.0081301,0.0138169,0.0218439,0.000893,369,2202,0.0364039955604883,0.0621531631520533,0.0819089900110988,0.128523862375139,0.691009988901221,"Dartmouth College",185500,49.659542
"209",2589,"University Of New Hampshire",12652,462,1093,1822,3229,6046,0.0057698,0.0064935,0.0036597,0.0060373,0.0068133,0.0054582,0.0002493,98,285,0.0365159658552008,0.0863895036357888,0.144008852355359,0.255216566550743,0.477869111602909,"University Of New Hampshire",109900,33.394779
"210",2609,"Rowan University",6203,404,572,838,1612,2777,0.0046752,0.0024752,0.0052448,0.0059666,0.0037221,0.0050414,0,24,42,0.0651297759148799,0.0922134451072062,0.135095921328389,0.259874254393036,0.447686603256489,"Rowan University",102400,31.674675
"211",2621,"New Jersey Institute Of Technology",2312,238,324,357,538,855,0.0151384,0.012605,0.0154321,0.0196078,0.0130112,0.0152047,0,30,20,0.102941176470588,0.140138408304498,0.154411764705882,0.232698961937716,0.369809688581315,"New Jersey Institute Of Technology",84000,63.790905
"212",2627,"Princeton University",4508,110,175,297,486,3440,0.0295031,0.0454545,0.0457143,0.006734,0.026749,0.0305233,0.002173,278,1083,0.0244010647737356,0.0388198757763975,0.0658828748890861,0.107808340727595,0.763087843833185,"Princeton University",218100,65.865234
"213",2629,"Rutgers, The State University Of New Jersey",27914,2315,3160,3920,5966,12553,0.0055528,0.0038877,0.0041139,0.0068878,0.0051961,0.0059747,0.0002459,229,972,0.0829332951207279,0.113204843447732,0.140431324783263,0.213727878483915,0.449702658164362,"Rutgers, The State University Of New Jersey",101000,47.305752
"214",2639,"Stevens Institute Of Technology",1344,86,145,176,339,598,0.046875,0.0581395,0.0482759,0.0397727,0.0353982,0.0535117,0.0016005,55,34,0.0639880952380952,0.107886904761905,0.130952380952381,0.252232142857143,0.444940476190476,"Stevens Institute Of Technology",96000,62.470394
